date,value,classification
2023-03-09,15,Extreme Fear
2023-03-10,17,Extreme Fear
2023-03-11,14,Extreme Fear
2023-03-12,15,Extreme Fear
2023-03-13,23,Fear
2023-03-14,23,Fear
2023-03-15,31,Fear
2023-03-16,18,Extreme Fear
2023-03-17,22,Fear
2023-03-18,22,Fear
2023-03-19,21,Fear
2023-03-20,21,Fear
2023-03-21,11,Extreme Fear
2023-03-22,10,Extreme Fear
2023-03-23,12,Extreme Fear
2023-03-24,19,Extreme Fear
2023-03-25,17,Extreme Fear
2023-03-26,13,Extreme Fear
2023-03-27,10,Extreme Fear
2023-03-28,15,Extreme Fear
2023-03-29,16,Extreme Fear
2023-03-30,14,Extreme Fear
2023-03-31,16,Extreme Fear
2023-04-01,17,Extreme Fear
2023-04-02,22,Fear
2023-04-03,18,Extreme Fear
2023-04-04,16,Extreme Fear
2023-04-05,14,Extreme Fear
2023-04-06,7,Extreme Fear
2023-04-07,9,Extreme Fear
2023-04-08,10,Extreme Fear
2023-04-09,10,Extreme Fear
2023-04-10,9,Extreme Fear
2023-04-11,2,Extreme Fear
2023-04-12,0,Extreme Fear
2023-04-13,0,Extreme Fear
2023-04-14,0,Extreme Fear
2023-04-15,0,Extreme Fear
2023-04-16,2,Extreme Fear
2023-04-17,11,Extreme Fear
2023-04-18,12,Extreme Fear
2023-04-19,13,Extreme Fear
2023-04-20,13,Extreme Fear
2023-04-21,3,Extreme Fear
2023-04-22,3,Extreme Fear
2023-04-23,3,Extreme Fear
2023-04-24,16,Extreme Fear
2023-04-25,15,Extreme Fear
2023-04-26,16,Extreme Fear
2023-04-27,16,Extreme Fear
2023-04-28,10,Extreme Fear
2023-04-29,16,Extreme Fear
2023-04-30,20,Extreme Fear
2023-05-01,24,Fear
2023-05-02,19,Extreme Fear
2023-05-03,26,Fear
2023-05-04,19,Extreme Fear
2023-05-05,22,Fear
2023-05-06,33,Fear
2023-05-07,28,Fear
2023-05-08,25,Fear
2023-05-09,26,Fear
2023-05-10,23,Fear
2023-05-11,15,Extreme Fear
2023-05-12,16,Extreme Fear
2023-05-13,10,Extreme Fear
2023-05-14,13,Extreme Fear
2023-05-15,8,Extreme Fear
2023-05-16,16,Extreme Fear
2023-05-17,12,Extreme Fear
2023-05-18,10,Extreme Fear
2023-05-19,14,Extreme Fear
2023-05-20,8,Extreme Fear
2023-05-21,9,Extreme Fear
2023-05-22,16,Extreme Fear
2023-05-23,8,Extreme Fear
2023-05-24,9,Extreme Fear
2023-05-25,10,Extreme Fear
2023-05-26,14,Extreme Fear
2023-05-27,8,Extreme Fear
2023-05-28,1,Extreme Fear
2023-05-29,4,Extreme Fear
2023-05-30,5,Extreme Fear
2023-05-31,7,Extreme Fear
2023-06-01,8,Extreme Fear
2023-06-02,5,Extreme Fear
2023-06-03,6,Extreme Fear
2023-06-04,8,Extreme Fear
2023-06-05,4,Extreme Fear
2023-06-06,13,Extreme Fear
2023-06-07,16,Extreme Fear
2023-06-08,10,Extreme Fear
2023-06-09,13,Extreme Fear
2023-06-10,8,Extreme Fear
2023-06-11,12,Extreme Fear
2023-06-12,18,Extreme Fear
2023-06-13,14,Extreme Fear
2023-06-14,19,Extreme Fear
2023-06-15,21,Fear
2023-06-16,25,Fear
2023-06-17,34,Fear
2023-06-18,33,Fear
2023-06-19,29,Fear
2023-06-20,25,Fear
2023-06-21,21,Fear
2023-06-22,20,Extreme Fear
2023-06-23,22,Fear
2023-06-24,23,Fear
2023-06-25,28,Fear
2023-06-26,28,Fear
2023-06-27,35,Fear
2023-06-28,34,Fear
2023-06-29,47,Neutral
2023-06-30,50,Neutral
2023-07-01,46,Neutral
2023-07-02,41,Neutral
2023-07-03,43,Neutral
2023-07-04,42,Neutral
2023-07-05,46,Neutral
2023-07-06,48,Neutral
2023-07-07,48,Neutral
2023-07-08,43,Neutral
2023-07-09,36,Fear
2023-07-10,34,Fear
2023-07-11,38,Fear
2023-07-12,39,Fear
2023-07-13,33,Fear
2023-07-14,34,Fear
2023-07-15,35,Fear
2023-07-16,31,Fear
2023-07-17,32,Fear
2023-07-18,32,Fear
2023-07-19,26,Fear
2023-07-20,28,Fear
2023-07-21,31,Fear
2023-07-22,36,Fear
2023-07-23,42,Neutral
2023-07-24,35,Fear
2023-07-25,30,Fear
2023-07-26,33,Fear
2023-07-27,35,Fear
2023-07-28,38,Fear
2023-07-29,57,Neutral
2023-07-30,60,Neutral
2023-07-31,66,Greed
2023-08-01,70,Greed
2023-08-02,74,Greed
2023-08-03,72,Greed
2023-08-04,76,Greed
2023-08-05,72,Greed
2023-08-06,71,Greed
2023-08-07,68,Greed
2023-08-08,69,Greed
2023-08-09,80,Greed
2023-08-10,71,Greed
2023-08-11,74,Greed
2023-08-12,66,Greed
2023-08-13,64,Greed
2023-08-14,69,Greed
2023-08-15,70,Greed
2023-08-16,64,Greed
2023-08-17,61,Greed
2023-08-18,64,Greed
2023-08-19,61,Greed
2023-08-20,62,Greed
2023-08-21,62,Greed
2023-08-22,59,Neutral
2023-08-23,69,Greed
2023-08-24,72,Greed
2023-08-25,62,Greed
2023-08-26,63,Greed
2023-08-27,60,Neutral
2023-08-28,64,Greed
2023-08-29,60,Neutral
2023-08-30,60,Neutral
2023-08-31,62,Greed
2023-09-01,67,Greed
2023-09-02,61,Greed
2023-09-03,59,Neutral
2023-09-04,57,Neutral
2023-09-05,53,Neutral
2023-09-06,62,Greed
2023-09-07,64,Greed
2023-09-08,58,Neutral
2023-09-09,62,Greed
2023-09-10,73,Greed
2023-09-11,78,Greed
2023-09-12,71,Greed
2023-09-13,68,Greed
2023-09-14,74,Greed
2023-09-15,71,Greed
2023-09-16,73,Greed
2023-09-17,77,Greed
2023-09-18,72,Greed
2023-09-19,72,Greed
2023-09-20,56,Neutral
2023-09-21,51,Neutral
2023-09-22,50,Neutral
2023-09-23,43,Neutral
2023-09-24,51,Neutral
2023-09-25,44,Neutral
2023-09-26,42,Neutral
2023-09-27,43,Neutral
2023-09-28,50,Neutral
2023-09-29,43,Neutral
2023-09-30,49,Neutral
2023-10-01,49,Neutral
2023-10-02,44,Neutral
2023-10-03,46,Neutral
2023-10-04,47,Neutral
2023-10-05,44,Neutral
2023-10-06,44,Neutral
2023-10-07,42,Neutral
2023-10-08,43,Neutral
2023-10-09,46,Neutral
2023-10-10,54,Neutral
2023-10-11,48,Neutral
2023-10-12,59,Neutral
2023-10-13,49,Neutral
2023-10-14,48,Neutral
2023-10-15,51,Neutral
2023-10-16,53,Neutral
2023-10-17,49,Neutral
2023-10-18,48,Neutral
2023-10-19,46,Neutral
2023-10-20,43,Neutral
2023-10-21,47,Neutral
2023-10-22,49,Neutral
2023-10-23,46,Neutral
2023-10-24,50,Neutral
2023-10-25,52,Neutral
2023-10-26,56,Neutral
2023-10-27,59,Neutral
2023-10-28,55,Neutral
2023-10-29,52,Neutral
2023-10-30,56,Neutral
2023-10-31,59,Neutral
2023-11-01,59,Neutral
2023-11-02,59,Neutral
2023-11-03,66,Greed
2023-11-04,63,Greed
2023-11-05,65,Greed
2023-11-06,64,Greed
2023-11-07,63,Greed
2023-11-08,69,Greed
2023-11-09,73,Greed
2023-11-10,77,Greed
2023-11-11,83,Extreme Greed
2023-11-12,84,Extreme Greed
2023-11-13,87,Extreme Greed
2023-11-14,85,Extreme Greed
2023-11-15,87,Extreme Greed
2023-11-16,86,Extreme Greed
2023-11-17,87,Extreme Greed
2023-11-18,90,Extreme Greed
2023-11-19,86,Extreme Greed
2023-11-20,96,Extreme Greed
2023-11-21,91,Extreme Greed
2023-11-22,85,Extreme Greed
2023-11-23,91,Extreme Greed
2023-11-24,95,Extreme Greed
2023-11-25,98,Extreme Greed
2023-11-26,100,Extreme Greed
2023-11-27,99,Extreme Greed
2023-11-28,95,Extreme Greed
2023-11-29,95,Extreme Greed
2023-11-30,92,Extreme Greed
2023-12-01,97,Extreme Greed
2023-12-02,96,Extreme Greed
2023-12-03,92,Extreme Greed
2023-12-04,90,Extreme Greed
2023-12-05,92,Extreme Greed
2023-12-06,90,Extreme Greed
2023-12-07,85,Extreme Greed
2023-12-08,87,Extreme Greed
2023-12-09,88,Extreme Greed
2023-12-10,85,Extreme Greed
2023-12-11,83,Extreme Greed
2023-12-12,84,Extreme Greed
2023-12-13,77,Greed
2023-12-14,70,Greed
2023-12-15,66,Greed
2023-12-16,65,Greed
2023-12-17,67,Greed
2023-12-18,74,Greed
2023-12-19,78,Greed
2023-12-20,78,Greed
2023-12-21,78,Greed
2023-12-22,73,Greed
2023-12-23,72,Greed
2023-12-24,71,Greed
2023-12-25,73,Greed
2023-12-26,69,Greed
2023-12-27,71,Greed
2023-12-28,79,Greed
2023-12-29,78,Greed
2023-12-30,80,Greed
2023-12-31,84,Extreme Greed
2024-01-01,82,Extreme Greed
2024-01-02,83,Extreme Greed
2024-01-03,83,Extreme Greed
2024-01-04,83,Extreme Greed
2024-01-05,79,Greed
2024-01-06,80,Greed
2024-01-07,82,Extreme Greed
2024-01-08,89,Extreme Greed
2024-01-09,94,Extreme Greed
2024-01-10,100,Extreme Greed
2024-01-11,96,Extreme Greed
2024-01-12,100,Extreme Greed
2024-01-13,100,Extreme Greed
2024-01-14,100,Extreme Greed
2024-01-15,95,Extreme Greed
2024-01-16,91,Extreme Greed
2024-01-17,88,Extreme Greed
2024-01-18,78,Greed
2024-01-19,75,Greed
2024-01-20,71,Greed
2024-01-21,72,Greed
2024-01-22,74,Greed
2024-01-23,83,Extreme Greed
2024-01-24,88,Extreme Greed
2024-01-25,85,Extreme Greed
2024-01-26,80,Greed
2024-01-27,83,Extreme Greed
2024-01-28,76,Greed
2024-01-29,85,Extreme Greed
2024-01-30,91,Extreme Greed
2024-01-31,89,Extreme Greed
2024-02-01,80,Greed
2024-02-02,87,Extreme Greed
2024-02-03,87,Extreme Greed
2024-02-04,93,Extreme Greed
2024-02-05,85,Extreme Greed
2024-02-06,82,Extreme Greed
2024-02-07,82,Extreme Greed
2024-02-08,82,Extreme Greed
2024-02-09,80,Greed
2024-02-10,83,Extreme Greed
2024-02-11,78,Greed
2024-02-12,77,Greed
2024-02-13,78,Greed
2024-02-14,80,Greed
2024-02-15,84,Extreme Greed
2024-02-16,78,Greed
2024-02-17,70,Greed
2024-02-18,77,Greed
2024-02-19,78,Greed
2024-02-20,75,Greed
2024-02-21,82,Extreme Greed
2024-02-22,83,Extreme Greed
2024-02-23,89,Extreme Greed
2024-02-24,89,Extreme Greed
2024-02-25,100,Extreme Greed
2024-02-26,100,Extreme Greed
2024-02-27,98,Extreme Greed
2024-02-28,100,Extreme Greed
2024-02-29,100,Extreme Greed
2024-03-01,100,Extreme Greed
2024-03-02,95,Extreme Greed
2024-03-03,98,Extreme Greed
2024-03-04,100,Extreme Greed
2024-03-05,91,Extreme Greed
2024-03-06,85,Extreme Greed
2024-03-07,75,Greed
2024-03-08,73,Greed
2024-03-09,77,Greed
2024-03-10,84,Extreme Greed
2024-03-11,85,Extreme Greed
2024-03-12,93,Extreme Greed
2024-03-13,86,Extreme Greed
2024-03-14,77,Greed
2024-03-15,77,Greed
2024-03-16,79,Greed
2024-03-17,79,Greed
2024-03-18,69,Greed
2024-03-19,68,Greed
2024-03-20,62,Greed
2024-03-21,65,Greed
2024-03-22,67,Greed
2024-03-23,62,Greed
2024-03-24,60,Neutral
2024-03-25,54,Neutral
2024-03-26,54,Neutral
2024-03-27,59,Neutral
2024-03-28,54,Neutral
2024-03-29,56,Neutral
2024-03-30,54,Neutral
2024-03-31,50,Neutral
2024-04-01,49,Neutral
2024-04-02,44,Neutral
2024-04-03,41,Neutral
2024-04-04,35,Fear
2024-04-05,45,Neutral
2024-04-06,45,Neutral
2024-04-07,42,Neutral
2024-04-08,43,Neutral
2024-04-09,42,Neutral
2024-04-10,41,Neutral
2024-04-11,44,Neutral
2024-04-12,48,Neutral
2024-04-13,45,Neutral
2024-04-14,42,Neutral
2024-04-15,41,Neutral
2024-04-16,30,Fear
2024-04-17,22,Fear
2024-04-18,29,Fear
2024-04-19,37,Fear
2024-04-20,36,Fear
2024-04-21,39,Fear
2024-04-22,40,Fear
2024-04-23,56,Neutral
2024-04-24,61,Greed
2024-04-25,61,Greed
2024-04-26,56,Neutral
2024-04-27,48,Neutral
2024-04-28,49,Neutral
2024-04-29,45,Neutral
2024-04-30,38,Fear
2024-05-01,35,Fear
2024-05-02,29,Fear
2024-05-03,38,Fear
2024-05-04,42,Neutral
2024-05-05,42,Neutral
2024-05-06,49,Neutral
2024-05-07,50,Neutral
2024-05-08,46,Neutral
2024-05-09,53,Neutral
2024-05-10,56,Neutral
2024-05-11,51,Neutral
2024-05-12,50,Neutral
2024-05-13,45,Neutral
2024-05-14,38,Fear
